,"('PLAYER',)","('TEAM',)","('AGE',)","('GP',)","('G',)","('Field Goals', '2FG FREQ%')","('Field Goals', '2FGM')","('Field Goals', '2FGA')","('Field Goals', '2FG%')","('Field Goals', '3FG FREQ%')","('2 Point Field Goals', '3PM')","('2 Point Field Goals', '3PA')","('2 Point Field Goals', '3P%')","('2 Point Field Goals', '2FG FREQ%')","('3 Point Field Goals', '2FGM')","('3 Point Field Goals', '2FGA')","('3 Point Field Goals', '2FG%')","('3 Point Field Goals', '3FG FREQ%')"
0,Nikola Vucevic,CHI,31,73,73,68.4,4.9,10.8,45.2,51.8,39.9,3.5,6.3,55.1,28.4,1.4,4.5,31.4
1,Nikola Jokic,DEN,27,74,74,58.0,5.8,10.3,56.3,62.0,38.6,4.6,6.8,67.6,19.4,1.2,3.4,33.9
2,Kristaps Porzingis,WAS,26,51,51,66.8,4.7,10.0,46.5,53.9,36.1,3.2,5.4,58.5,30.6,1.5,4.6,32.3
3,Anthony Davis,LAL,29,40,40,57.3,5.8,9.9,58.0,59.4,47.8,5.5,8.3,66.3,9.5,0.3,1.6,16.7
4,Deandre Ayton,PHX,23,58,58,77.1,6.1,9.2,65.9,66.6,74.6,6.0,8.9,66.7,2.5,0.1,0.3,41.2
5,Lauri Markkanen,CLE,25,61,61,73.5,3.8,8.5,44.6,57.8,21.2,1.5,2.4,63.1,52.3,2.2,6.0,37.1
6,Klay Thompson,GSW,32,32,32,47.5,3.3,8.4,39.6,53.7,10.6,1.0,1.9,51.7,37.0,2.4,6.6,36.2
7,LeBron James,LAL,37,56,56,38.6,4.6,8.4,55.0,64.1,20.1,3.1,4.4,70.3,18.4,1.5,4.0,38.2
8,John Collins,ATL,24,54,54,70.5,4.6,8.4,54.5,61.5,43.5,3.4,5.2,65.7,26.9,1.2,3.2,36.4
9,Jonas Valanciunas,NOP,30,73,73,64.7,4.6,8.3,55.3,60.0,47.9,3.8,6.1,61.9,16.8,0.8,2.1,36.5
10,Karl-Anthony Towns,MIN,26,74,74,49.3,4.0,8.1,50.0,60.5,23.6,2.4,3.9,60.8,25.7,1.7,4.2,40.1
11,Bobby Portis,MIL,27,72,72,65.7,3.8,7.9,47.4,58.5,28.3,2.0,3.4,58.5,37.5,1.8,4.5,39.0
12,Melvin Frazier Jr.,OKC,25,3,3,47.9,1.0,7.7,13.0,15.2,6.3,0.7,1.0,66.7,41.7,0.3,6.7,5.0
13,Joel Embiid,PHI,28,68,68,38.9,3.9,7.6,50.7,56.6,26.8,3.0,5.3,56.4,12.1,0.9,2.4,37.9
14,Wendell Carter Jr.,ORL,23,62,62,67.9,3.8,7.5,51.2,58.4,37.7,2.7,4.2,66.1,30.2,1.1,3.3,32.5
15,Domantas Sabonis,SAC,26,62,62,59.5,4.3,7.4,58.4,62.5,44.0,3.7,5.5,67.7,15.5,0.6,1.9,31.7
16,Kevin Love,CLE,33,74,74,71.9,3.2,7.4,43.3,57.8,19.6,1.1,2.0,53.0,52.3,2.1,5.4,39.7
17,Brook Lopez,MIL,34,13,13,73.3,3.6,7.4,49.0,57.8,37.4,2.3,3.8,61.2,35.9,1.3,3.6,36.2
18,Mo Bamba,ORL,24,71,70,83.5,3.6,7.3,49.2,59.5,39.6,2.1,3.5,60.4,43.9,1.5,3.8,39.1
19,Jakob Poeltl,SAS,26,68,68,73.9,4.6,7.2,63.3,63.3,73.9,4.6,7.2,63.3,0.0,0.0,0.0,-
20,Malik Beasley,MIN,25,79,79,66.9,2.9,7.2,39.5,56.9,6.2,0.3,0.7,52.8,60.7,2.5,6.5,38.2
21,Christian Wood,HOU,26,68,68,54.8,3.8,7.1,52.9,63.4,25.7,2.3,3.3,68.1,29.1,1.5,3.8,39.5
22,Jaren Jackson Jr.,MEM,22,77,77,52.8,2.8,7.0,40.4,51.6,16.3,1.3,2.2,58.1,36.5,1.6,4.8,32.4
23,Devin Cannady,ORL,26,5,5,79.5,2.8,7.0,40.0,60.0,4.5,0.0,0.4,0.0,75.0,2.8,6.6,42.4
24,Kelly Oubre Jr.,CHA,26,75,74,56.3,2.9,6.9,41.2,55.6,9.5,0.8,1.2,72.7,46.8,2.0,5.8,34.7
25,O.G. Anunoby,TOR,24,48,48,47.4,3.3,6.9,48.0,62.4,12.8,1.3,1.9,71.9,34.7,2.0,5.0,39.3
26,Saddiq Bey,DET,23,81,80,49.3,2.9,6.9,41.9,57.4,9.2,0.8,1.3,58.7,40.1,2.1,5.6,38.1
27,Clint Capela,ATL,28,74,74,83.4,4.3,6.8,63.4,63.4,83.3,4.3,6.8,63.5,0.2,0.0,0.0,0.0
28,Luguentz Dort,OKC,23,51,51,47.5,2.5,6.8,36.5,49.9,6.9,0.7,1.0,68.0,40.6,1.8,5.8,31.2
