,"('PLAYER',)","('TEAM',)","('AGE',)","('GP',)","('G',)","('Field Goals', '2FG FREQ%')","('Field Goals', '2FGM')","('Field Goals', '2FGA')","('Field Goals', '2FG%')","('Field Goals', '3FG FREQ%')","('2 Point Field Goals', '3PM')","('2 Point Field Goals', '3PA')","('2 Point Field Goals', '3P%')","('2 Point Field Goals', '2FG FREQ%')","('3 Point Field Goals', '2FGM')","('3 Point Field Goals', '2FGA')","('3 Point Field Goals', '2FG%')","('3 Point Field Goals', '3FG FREQ%')"
0,Joel Embiid,PHI,28,68,68,25.1,2.5,4.9,51.6,53.3,22.9,2.4,4.5,53.1,2.2,0.2,0.4,36.7
1,Karl-Anthony Towns,MIN,26,74,73,24.3,2.2,4.0,55.3,57.5,21.7,2.0,3.5,57.0,2.6,0.2,0.4,40.6
2,Anthony Davis,LAL,29,40,39,22.4,1.7,3.9,42.9,43.3,22.2,1.6,3.9,42.9,0.3,0.0,0.1,50.0
3,Devin Booker,PHX,25,67,67,18.6,1.9,3.9,50.0,56.5,12.7,1.4,2.7,53.9,5.9,0.5,1.2,41.5
4,Desmond Bane,MEM,24,76,75,25.2,1.6,3.6,44.4,54.5,13.6,0.9,2.0,44.7,11.5,0.7,1.7,44.1
5,Klay Thompson,GSW,32,32,31,19.0,1.5,3.4,43.5,53.7,9.9,0.8,1.8,44.6,9.2,0.7,1.6,42.3
6,Jayson Tatum,BOS,24,75,73,16.4,1.5,3.4,43.5,50.4,9.2,1.0,1.9,52.8,7.2,0.5,1.5,31.5
7,Giannis Antetokounmpo,MIL,27,67,64,18.1,1.9,3.4,56.0,57.6,15.1,1.8,2.8,63.3,3.0,0.1,0.6,18.9
8,Bam Adebayo,MIA,24,56,55,24.6,1.6,3.2,50.3,50.3,24.3,1.6,3.2,50.8,0.3,0.0,0.0,0.0
9,Julius Randle,NYK,27,71,63,16.2,1.2,2.8,44.4,50.0,11.8,0.9,2.0,45.8,4.4,0.3,0.8,40.7
10,Kevin Durant,BKN,33,55,51,13.6,1.7,2.8,60.5,64.5,11.5,1.4,2.3,62.5,2.2,0.2,0.4,50.0
11,Nikola Jokic,DEN,27,74,68,15.0,1.6,2.7,59.9,60.7,13.9,1.6,2.5,63.2,1.1,0.0,0.2,20.0
12,Jusuf Nurkic,POR,27,56,53,24.5,1.6,2.6,60.5,61.2,24.0,1.6,2.6,60.4,0.5,0.0,0.1,66.7
13,Evan Mobley,CLE,21,69,61,21.4,1.1,2.6,42.1,42.1,21.0,1.1,2.5,43.1,0.5,0.0,0.1,0.0
14,Dillon Brooks,MEM,26,31,29,15.5,1.3,2.5,50.6,55.1,10.4,1.1,1.7,62.3,5.1,0.2,0.8,26.9
15,Miles Bridges,CHA,24,79,68,16.1,1.2,2.4,49.2,54.1,10.9,1.0,1.7,58.0,5.2,0.2,0.8,30.6
16,LeBron James,LAL,37,56,51,11.1,1.4,2.4,58.1,63.6,7.9,1.1,1.7,66.0,3.2,0.3,0.7,38.5
17,Jonas Valanciunas,NOP,30,73,67,19.0,1.4,2.4,56.5,56.5,19.0,1.4,2.4,56.5,0.0,0.0,0.0,-
18,Jarrett Allen,CLE,24,56,49,24.1,1.5,2.3,62.6,62.6,23.9,1.5,2.3,63.1,0.2,0.0,0.0,0.0
19,Brandon Ingram,NOP,24,54,46,12.8,1.2,2.3,51.2,52.0,12.2,1.1,2.2,52.1,0.6,0.0,0.1,33.3
20,Nikola Vucevic,CHI,31,73,70,14.2,1.4,2.3,60.4,60.7,14.0,1.3,2.2,60.9,0.3,0.0,0.0,33.3
21,Jaylen Brown,BOS,25,65,53,12.1,1.1,2.2,46.9,53.1,7.6,0.8,1.4,54.3,4.4,0.3,0.8,34.0
22,Michael Porter Jr.,DEN,24,9,9,19.4,1.1,2.2,50.0,57.5,11.7,0.8,1.3,58.3,7.8,0.3,0.9,37.5
23,Saddiq Bey,DET,23,81,75,16.0,0.8,2.2,35.6,41.1,8.2,0.5,1.1,47.8,7.8,0.3,1.1,22.7
24,John Collins,ATL,24,54,50,18.4,1.1,2.2,48.3,48.3,18.0,1.1,2.1,49.1,0.3,0.0,0.0,0.0
25,Terry Rozier,CHA,28,72,64,13.6,1.1,2.2,48.4,57.3,6.7,0.7,1.1,62.3,6.9,0.4,1.1,35.0
26,Christian Wood,HOU,26,68,58,16.7,1.0,2.2,44.9,47.6,14.0,0.8,1.8,47.2,2.7,0.1,0.3,33.3
27,Mikal Bridges,PHX,25,81,71,20.6,1.4,2.1,63.2,64.9,18.3,1.3,1.9,67.1,2.2,0.1,0.2,31.6
28,Damian Lillard,POR,31,29,25,11.1,0.8,2.1,39.3,54.1,2.4,0.2,0.5,46.2,8.7,0.6,1.7,37.5
29,Kelly Oubre Jr.,CHA,26,75,63,17.0,1.1,2.1,51.6,60.2,9.9,0.7,1.2,59.3,7.2,0.4,0.9,40.9
30,Tyler Herro,MIA,22,66,52,12.1,1.0,2.1,49.3,61.8,6.0,0.5,1.0,49.3,6.1,0.5,1.1,49.3
31,Zach LaVine,CHI,27,67,53,11.6,0.9,2.1,42.8,51.4,5.7,0.5,1.0,52.2,6.0,0.4,1.1,33.8
32,Jimmy Butler,MIA,32,57,50,14.1,0.9,2.0,44.4,45.7,11.6,0.9,1.7,51.0,2.5,0.1,0.4,14.3
33,DeMar DeRozan,CHI,32,76,62,10.1,1.0,2.0,50.3,51.6,9.4,1.0,1.9,51.0,0.7,0.1,0.1,40.0
34,CJ McCollum,NOP,30,62,57,10.7,0.9,2.0,46.4,56.8,5.4,0.5,1.0,50.8,5.3,0.4,1.0,41.9
35,Jerami Grant,DET,28,47,44,13.6,0.9,2.0,43.2,45.3,12.2,0.8,1.8,43.5,1.4,0.1,0.2,40.0
36,Montrezl Harrell,CHA,28,71,62,25.7,1.3,2.0,62.2,62.9,25.2,1.2,2.0,62.1,0.5,0.0,0.0,66.7
37,Melvin Frazier Jr.,OKC,25,3,3,12.5,1.0,2.0,50.0,50.0,12.5,1.0,2.0,50.0,0.0,0.0,0.0,-
38,Reggie Perry,POR,22,10,10,25.3,0.8,2.0,40.0,40.0,22.8,0.8,1.8,44.4,2.5,0.0,0.2,0.0
39,Zavier Simpson,OKC,25,4,3,15.4,0.8,2.0,37.5,37.5,13.5,0.8,1.8,42.9,1.9,0.0,0.3,0.0
40,Kyle Kuzma,WAS,26,66,57,14.0,0.9,2.0,46.6,50.0,10.4,0.8,1.5,53.6,3.6,0.1,0.5,26.5
41,Robin Lopez,ORL,34,36,27,35.5,1.0,2.0,50.7,50.7,35.0,1.0,1.9,51.4,0.5,0.0,0.0,0.0
42,Seth Curry,BKN,31,64,54,17.1,1.0,2.0,50.0,57.9,11.1,0.7,1.3,52.4,6.0,0.3,0.7,45.5
43,Evan Fournier,NYK,29,79,68,16.6,0.8,2.0,41.7,55.1,4.8,0.3,0.6,51.1,11.8,0.5,1.4,37.8
44,Anthony Edwards,MIN,20,72,64,11.4,0.7,2.0,37.3,43.3,5.7,0.5,1.0,50.7,5.7,0.2,1.0,23.9
45,Buddy Hield,IND,29,80,67,14.6,0.7,2.0,36.3,47.5,4.1,0.3,0.6,50.0,10.5,0.4,1.4,31.0
46,Bradley Beal,WAS,29,40,35,10.1,1.0,1.9,51.3,55.1,7.7,0.8,1.5,57.6,2.5,0.1,0.5,31.6
47,Doug McDermott,SAS,30,51,44,21.1,0.9,1.9,48.0,55.6,14.0,0.6,1.3,49.2,7.1,0.3,0.7,45.5
48,Marvin Bagley III,DET,23,48,40,20.6,0.9,1.9,46.7,46.7,20.2,0.9,1.9,47.8,0.4,0.0,0.0,0.0
49,Stephen Curry,GSW,34,64,54,10.0,0.9,1.9,45.1,58.6,3.3,0.3,0.6,55.0,6.7,0.5,1.3,40.2
50,Khris Middleton,MIL,30,66,54,12.2,0.9,1.9,50.4,58.4,7.5,0.7,1.2,55.8,4.7,0.3,0.7,41.7
51,Norman Powell,LAC,29,45,37,14.0,0.9,1.9,48.2,58.8,6.9,0.5,0.9,54.8,7.1,0.4,1.0,41.9
52,Domantas Sabonis,SAC,26,62,54,15.0,1.2,1.9,66.4,66.4,14.6,1.2,1.8,68.1,0.4,0.0,0.1,0.0
53,Jaren Jackson Jr.,MEM,22,77,62,14.1,0.8,1.9,40.3,41.3,12.7,0.7,1.7,42.3,1.4,0.0,0.2,21.4
54,Duncan Robinson,MIA,28,79,65,20.2,0.9,1.9,49.0,69.4,3.0,0.1,0.3,54.5,17.2,0.8,1.6,48.0
55,Gary Trent Jr.,TOR,23,70,59,12.0,0.8,1.9,40.8,48.1,5.2,0.5,0.8,59.6,6.7,0.3,1.0,26.0
56,Keldon Johnson,SAS,22,75,65,13.8,0.9,1.9,50.4,52.9,11.3,0.8,1.5,55.3,2.5,0.1,0.3,28.0
57,Bobby Portis,MIL,27,72,57,15.3,0.9,1.9,49.6,51.5,14.3,0.8,1.7,49.2,1.0,0.1,0.1,55.6
58,Brook Lopez,MIL,34,13,11,18.3,0.8,1.9,45.8,50.0,13.7,0.7,1.4,50.0,4.6,0.1,0.5,33.3
59,Gordon Hayward,CHA,32,48,40,14.7,0.8,1.8,44.3,49.4,11.7,0.6,1.5,42.9,3.0,0.2,0.4,50.0
60,Kevin Love,CLE,33,74,61,17.7,0.7,1.8,40.0,49.6,8.9,0.4,0.9,41.2,8.8,0.3,0.9,38.8
61,Deandre Ayton,PHX,23,58,41,15.2,0.9,1.8,51.4,51.4,14.9,0.9,1.8,52.4,0.3,0.0,0.0,0.0
62,Tyrese Maxey,PHI,21,75,65,13.4,0.9,1.8,49.6,56.4,8.8,0.6,1.2,54.5,4.5,0.2,0.6,40.0
63,Marcus Morris Sr.,LAC,32,53,44,13.9,0.7,1.8,41.5,45.7,10.8,0.6,1.4,42.5,3.1,0.1,0.4,38.1
64,Darius Garland,CLE,22,68,55,10.1,0.8,1.7,44.9,53.8,5.5,0.5,1.0,49.2,4.5,0.3,0.8,39.6
65,Jakob Poeltl,SAS,26,68,53,17.5,1.0,1.7,59.5,59.9,17.3,1.0,1.7,59.1,0.2,0.0,0.0,100
66,Tobias Harris,PHI,29,73,62,12.2,0.9,1.7,54.4,57.6,10.6,0.8,1.5,55.6,1.7,0.1,0.2,47.1
67,Jaylen Hoard,OKC,23,7,5,13.3,0.6,1.7,33.3,37.5,8.9,0.4,1.1,37.5,4.4,0.1,0.6,25.0
68,Devin Vassell,SAS,21,71,62,15.8,0.8,1.7,44.6,46.7,12.6,0.7,1.4,51.0,3.3,0.1,0.3,20.0
69,O.G. Anunoby,TOR,24,48,41,11.5,0.9,1.7,55.0,60.0,7.7,0.8,1.1,66.7,3.7,0.2,0.5,30.8
70,Tim Hardaway Jr.,DAL,30,42,34,13.2,0.6,1.7,37.1,42.9,7.4,0.4,0.9,46.2,5.8,0.2,0.7,25.8
71,Justin Holiday,SAC,33,74,58,18.6,0.6,1.7,36.6,45.9,7.7,0.3,0.7,43.1,10.9,0.3,1.0,31.9
72,Kristaps Porzingis,WAS,26,51,44,11.0,0.7,1.6,41.7,42.3,9.4,0.7,1.4,47.2,1.6,0.0,0.2,8.3
73,Luka Doncic,DAL,23,65,55,7.6,0.7,1.6,39.3,49.5,2.8,0.3,0.6,51.3,4.8,0.3,1.1,32.4
74,Collin Sexton,CLE,23,11,9,12.2,0.7,1.6,44.4,47.2,8.8,0.6,1.2,53.8,3.4,0.1,0.5,20.0
75,Donovan Mitchell,UTA,25,67,54,8.0,0.7,1.6,41.8,52.3,2.6,0.3,0.5,63.9,5.4,0.3,1.1,31.1
76,Jordan Poole,GSW,23,75,61,11.7,0.7,1.6,40.2,48.0,5.7,0.4,0.8,50.0,5.9,0.3,0.8,30.6
77,RJ Barrett,NYK,22,69,61,9.5,0.7,1.6,42.0,46.9,6.6,0.5,1.1,46.2,2.9,0.2,0.5,32.4
