,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,Aaron Gordon,DEN,75,46,29,31.7,15.0,42.3,27.5,2.0,2.77,1.89,0.355,1.7,2.1,5.1,0.653,0.66,1.075
1,Aaron Henry,PHI,6,6,0,2.8,0.3,2.8,1.8,0.1,1.96,1.0,0.118,0.3,0.0,0.2,1.0,0.0,0.0
2,Aaron Holiday,PHX,63,34,29,16.2,6.3,31.4,12.2,2.4,4.63,4.32,0.202,0.2,0.0,0.4,0.583,0.0,0.652
3,Aaron Nesmith,BOS,52,32,20,11.0,3.8,15.4,8.2,0.5,1.88,0.99,0.244,0.2,0.0,0.3,0.625,0.0,1.0
4,Aaron Wiggins,OKC,50,13,37,24.2,8.3,25.1,17.5,0.9,2.12,1.47,0.332,0.3,0.0,1.6,0.824,1.5,1.0
5,Abdel Nader,PHX,14,11,3,10.4,2.4,9.9,5.8,0.3,1.86,1.14,0.246,0.1,0.0,0.5,0.0,0.0,0.857
6,Ade Murkey,SAC,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,38,10,28,12.3,3.8,19.4,8.9,0.5,1.59,0.63,0.198,0.2,0.1,0.8,0.667,0.0,0.516
8,Ahmad Caver,IND,1,0,1,0.9,2.0,2.0,0.0,0.2,5.18,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al Horford,BOS,68,46,22,29.0,10.2,49.4,29.4,1.4,1.73,0.64,0.207,2.2,1.9,3.9,0.318,0.55,0.791
10,Alec Burks,NYK,80,36,44,28.5,11.8,56.1,26.0,3.5,3.74,3.06,0.21,0.4,0.1,0.5,0.333,0.8,0.487
11,Aleem Ford,ORL,5,2,3,14.7,2.8,18.4,9.4,0.4,1.44,0.6,0.152,0.0,0.0,0.2,0.0,0.0,2.0
12,Aleksej Pokusevski,OKC,61,19,42,20.2,7.6,38.0,21.1,1.4,2.23,1.41,0.2,0.6,0.0,1.8,0.632,0.667,0.847
13,Alex Caruso,CHI,41,24,17,28.0,7.4,50.5,20.3,2.8,3.3,2.67,0.147,0.8,0.0,1.4,0.353,0.0,0.797
14,Alex Len,SAC,39,17,22,15.9,6.0,24.2,15.3,0.6,1.47,0.48,0.249,2.7,0.4,4.8,0.589,0.176,0.844
15,Alfonzo McKinnie,CHI,17,8,9,12.1,3.5,13.6,7.6,0.4,1.6,0.74,0.255,0.2,0.0,1.1,0.0,0.0,0.842
16,Alize Johnson,NOP,23,14,9,7.3,1.8,10.7,5.6,0.4,2.07,0.87,0.166,0.6,0.0,1.7,0.286,0.0,0.725
17,Alperen Sengun,HOU,72,18,54,20.7,9.6,37.7,26.2,1.5,2.36,1.03,0.255,2.2,2.9,4.1,0.578,0.58,0.801
18,Amir Coffey,LAC,68,33,35,22.7,9.0,29.1,17.9,1.3,2.75,1.66,0.308,0.1,0.0,0.4,0.5,0.0,0.8
19,Andre Drummond,BKN,73,42,31,19.7,7.9,29.2,18.8,0.8,1.75,0.67,0.273,2.1,1.1,6.6,0.342,0.563,0.877
20,Andre Iguodala,GSW,30,20,10,19.4,4.0,37.1,19.7,1.8,2.89,1.74,0.107,0.9,0.4,2.1,0.222,0.182,0.371
21,Andrew Wiggins,GSW,72,47,25,31.9,17.2,46.9,30.9,2.3,2.96,2.15,0.366,0.6,1.7,2.7,0.93,0.52,0.908
22,Anfernee Simons,POR,57,25,32,29.5,17.3,61.3,25.3,5.3,5.2,4.62,0.283,0.3,0.0,0.4,0.556,0.0,0.476
23,Anthony Davis,LAL,40,17,23,35.1,23.2,68.8,43.3,2.6,2.3,0.99,0.337,5.8,6.3,10.0,0.509,0.548,1.01
24,Anthony Edwards,MIN,72,39,33,34.2,21.3,61.5,31.2,4.3,4.15,3.6,0.346,0.9,0.2,1.2,0.645,0.125,0.685
25,Anthony Gill,WAS,44,15,29,10.5,4.1,11.9,8.4,0.3,1.73,0.7,0.344,0.6,0.1,1.5,0.84,0.8,0.969
26,Anthony Lamb,HOU,2,0,2,3.8,0.0,8.5,3.0,0.3,2.37,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Armoni Brooks,TOR,54,20,34,15.6,5.3,23.2,15.1,0.9,2.32,1.56,0.23,0.1,0.0,0.3,0.0,0.0,0.688
28,Arnoldas Kulboka,CHA,2,2,0,2.6,0.0,1.5,1.0,0.0,0.89,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
