,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,Aaron Gordon,DEN,75,46,29,31.7,3.5,0.8,1.6,53.0,0.4,0.5,80.0,2.2,64.1,1.1,32.8,0.2,6.9,0.3,8.9,0.3,7.7
1,Aaron Henry,PHI,6,6,0,2.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Aaron Holiday,PHX,63,34,29,16.2,6.4,1.2,2.7,46.1,0.4,0.5,90.0,2.9,46.1,2.8,44.6,0.8,13.0,0.5,7.5,0.2,3.7
3,Aaron Nesmith,BOS,52,32,20,11.0,1.3,0.3,0.6,55.2,0.1,0.1,100.0,0.8,60.0,0.5,34.3,0.0,1.4,0.2,12.9,0.1,4.3
4,Aaron Wiggins,OKC,50,13,37,24.2,4.1,0.8,1.7,46.0,0.5,0.8,66.7,2.2,55.2,1.6,38.4,0.3,7.9,0.3,7.4,0.4,9.4
5,Abdel Nader,PHX,14,11,3,10.4,2.1,0.2,1.0,21.4,0.1,0.1,50.0,0.5,24.1,0.6,31.0,0.1,6.9,0.2,10.3,0.1,3.4
6,Ade Murkey,SAC,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,38,10,28,12.3,1.2,0.4,0.6,60.9,0.2,0.3,90.0,1.0,84.1,0.3,29.5,0.1,9.1,0.1,4.5,0.1,11.4
8,Ahmad Caver,IND,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al Horford,BOS,68,46,22,29.0,1.2,0.3,0.5,62.5,0.3,0.3,89.5,0.9,69.9,0.5,44.6,0.1,9.6,0.0,3.6,0.1,10.8
