,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,Aaron Gordon,DEN,75,46,29,31.7,1.7,0.8,2.1,36.9,0.2,0.7,30.0,41.7
1,Aaron Henry,PHI,6,6,0,2.8,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0
2,Aaron Holiday,PHX,63,34,29,16.2,1.5,0.7,1.6,39.8,0.2,0.5,44.8,46.1
3,Aaron Nesmith,BOS,52,32,20,11.0,0.5,0.2,0.6,33.3,0.1,0.3,17.6,37.9
4,Aaron Wiggins,OKC,50,13,37,24.2,0.2,0.1,0.4,26.3,0.0,0.2,20.0,31.6
5,Abdel Nader,PHX,14,11,3,10.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
6,Ade Murkey,SAC,1,0,1,1.5,0.0,0.0,0.0,-,-,-,-,-
7,Admiral Schofield,ORL,38,10,28,12.3,0.2,0.1,0.2,33.3,0.1,0.2,28.6,44.4
8,Ahmad Caver,IND,1,0,1,0.8,0.0,0.0,0.0,-,-,-,-,-
9,Al Horford,BOS,69,46,23,29.1,0.4,0.2,0.3,52.4,0.1,0.1,100,61.9
10,Alec Burks,NYK,81,37,44,28.6,3.2,1.3,3.5,36.3,0.7,1.8,38.6,46.1
11,Aleem Ford,ORL,5,2,3,14.7,0.0,0.0,0.0,-,0.0,0.0,-,-
12,Aleksej Pokusevski,OKC,61,19,42,20.2,0.8,0.4,1.4,27.7,0.1,0.4,19.2,30.7
13,Alex Caruso,CHI,41,24,17,28.0,1.0,0.4,1.3,32.1,0.1,0.6,21.7,36.8
14,Alex Len,SAC,39,17,22,15.9,0.1,0.0,0.1,20.0,0.0,0.0,-,20.0
15,Alfonzo McKinnie,CHI,17,8,9,12.1,0.2,0.1,0.6,20.0,0.0,0.1,0.0,20.0
16,Alize Johnson,NOP,23,14,9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
