,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Jarrett Allen,CLE,56,4.0,29.8,1.34,5.3,2.3,3.3,68.8,68.8,15.8,3.6,15.3,3.2,68.9,63.2
1,Rudy Gobert,UTA,66,3.1,24.9,1.36,4.3,1.6,2.2,73.0,73.0,25.1,8.2,24.2,4.8,69.6,65.8
2,Robert Williams III,BOS,61,3.0,38.0,1.53,4.5,2.1,2.6,81.4,81.4,10.0,6.7,10.0,3.3,76.1,91.5
3,Evan Mobley,CLE,69,3.0,19.4,1.27,3.8,1.6,2.4,67.9,67.9,17.3,5.8,16.8,2.9,67.3,48.2
4,Clint Capela,ATL,74,2.6,26.5,1.28,3.3,1.5,2.3,67.9,67.9,11.5,3.1,11.5,2.6,65.4,49.7
5,Dwight Powell,DAL,82,1.9,28.8,1.52,2.9,1.2,1.6,74.0,74.0,25.2,4.4,25.8,12.6,72.3,90.7
6,Jakob Poeltl,SAS,68,2.8,22.1,1.27,3.5,1.6,2.5,65.9,65.9,10.1,2.1,9.5,0.5,66.1,48.4
7,Kevon Looney,GSW,82,2.3,37.9,1.27,2.9,1.3,1.9,68.8,68.8,13.9,4.3,13.9,2.1,66.8,46.4
8,Deandre Ayton,PHX,58,2.9,20.0,1.38,4.1,1.8,2.6,69.5,69.5,10.6,4.1,10.6,3.5,68.8,68.9
9,Nikola Jokic,DEN,74,2.2,9.4,1.4,3.1,1.3,1.8,69.6,69.6,21.7,6.0,21.1,9.0,69.3,74.1
10,Bam Adebayo,MIA,56,3.6,19.5,1.17,4.2,1.7,2.8,58.5,58.5,20.1,6.0,18.6,6.0,60.3,29.5
11,Jonas Valanciunas,NOP,74,2.2,12.9,1.35,2.9,1.2,1.8,66.9,66.9,14.9,5.6,14.9,3.1,67.1,63.7
12,Ivica Zubac,LAC,76,2.0,21.5,1.41,2.8,1.1,1.6,69.7,69.7,19.6,3.9,19.0,3.3,71.9,74.4
13,Giannis Antetokounmpo,MIL,67,2.1,8.0,1.44,3.1,1.1,1.5,72.7,72.7,31.3,5.6,30.6,6.3,75.0,81.7
14,Domantas Sabonis,IND,47,3.3,18.6,1.29,4.3,1.7,2.4,69.3,69.3,20.6,10.3,20.6,4.5,66.5,51.6
15,Aaron Gordon,DEN,75,1.8,12.9,1.42,2.6,1.1,1.4,76.9,76.9,16.8,9.5,16.8,5.1,72.3,78.5
16,Jarred Vanderbilt,MIN,74,2.2,33.1,1.15,2.5,1.1,1.8,60.3,60.3,16.1,6.8,16.1,4.3,59.6,25.9
17,Daniel Gafford,WAS,72,1.8,23.6,1.45,2.5,1.1,1.5,74.5,74.5,16.7,7.1,16.7,7.9,71.4,83.2
18,Scottie Barnes,TOR,74,2.0,12.7,1.18,2.3,1.0,1.7,59.3,59.3,12.9,5.4,12.9,2.0,60.5,31.6
