,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Mitchell Robinson,NYK,72,2.9,43.0,1.32,3.8,1.6,2.2,73.4,73.4,25.0,6.3,25.5,7.7,69.2,87.5
1,Rudy Gobert,UTA,66,2.7,21.2,1.31,3.5,1.3,1.9,68.8,68.8,24.0,7.4,20.5,4.0,67.6,86.8
2,Jonas Valanciunas,NOP,74,2.4,14.4,1.24,3.0,1.3,2.1,60.6,60.6,15.0,2.8,13.4,3.9,62.0,73.0
3,Nikola Jokic,DEN,74,2.2,9.2,1.31,2.9,1.1,1.9,61.2,61.2,19.0,2.5,17.2,6.7,64.4,85.8
4,Steven Adams,MEM,76,2.5,31.6,0.96,2.4,1.1,2.0,51.9,51.9,12.0,8.0,9.6,2.7,50.8,27.0
5,Jakob Poeltl,SAS,68,2.3,17.9,1.14,2.6,1.2,1.9,62.1,62.1,10.0,6.5,9.8,3.3,58.8,57.9
6,Clint Capela,ATL,74,2.7,27.7,0.83,2.2,1.0,2.4,42.5,42.5,9.0,2.5,9.5,1.5,43.0,13.4
7,Robert Williams III,BOS,61,2.2,28.1,1.24,2.7,1.3,2.0,63.1,63.1,8.0,3.8,7.5,3.8,61.7,75.1
8,Karl-Anthony Towns,MIN,74,1.8,8.3,1.21,2.2,0.9,1.5,57.8,57.8,19.0,5.9,18.5,5.9,60.0,68.8
9,Hassan Whiteside,UTA,65,2.1,30.1,1.11,2.4,1.0,1.6,59.4,59.4,18.0,7.2,15.9,2.2,58.0,51.0
10,Ivica Zubac,LAC,76,1.9,20.2,1.06,2.0,0.9,1.6,55.9,55.9,11.0,6.9,11.8,0.7,56.3,41.0
11,Jarrett Allen,CLE,56,2.1,15.5,1.24,2.6,1.1,1.6,68.9,68.9,16.0,12.1,16.4,6.0,62.9,75.6
12,Chris Boucher,TOR,80,1.8,20.3,1.01,1.8,0.7,1.5,45.8,45.8,15.0,2.8,14.7,2.1,51.7,35.0
13,Daniel Gafford,WAS,72,1.6,21.5,1.24,2.0,0.8,1.3,67.0,67.0,13.0,12.2,13.0,4.3,61.7,73.3
14,Joel Embiid,PHI,68,1.7,6.2,1.21,2.1,0.7,1.3,56.5,56.5,30.0,6.0,29.1,8.5,61.5,68.5
15,JaVale McGee,PHX,74,1.6,19.8,1.15,1.9,0.9,1.5,59.1,59.1,8.0,4.1,8.2,2.5,58.2,58.5
16,Wendell Carter Jr.,ORL,62,1.4,9.7,1.56,2.2,1.0,1.2,77.6,77.6,17.0,4.6,17.2,9.2,75.9,99.1
17,Scottie Barnes,TOR,74,1.4,9.1,1.27,1.8,0.8,1.2,64.1,65.2,11.0,3.8,11.3,1.9,64.2,80.4
18,Mo Bamba,ORL,71,1.6,15.4,1.2,1.9,0.9,1.4,61.4,61.9,5.0,5.4,5.4,0.9,59.8,66.2
19,Bobby Portis,MIL,72,1.8,13.0,0.98,1.8,0.8,1.6,50.4,50.4,9.0,6.1,9.1,2.3,50.0,29.1
20,Domantas Sabonis,IND,47,2.2,12.6,1.22,2.7,1.1,1.7,62.2,62.2,19.0,7.6,17.1,4.8,61.9,70.9
21,Brandon Clarke,MEM,64,1.5,18.0,1.31,2.0,0.9,1.3,68.6,68.6,7.0,3.1,7.3,0.0,67.7,86.8
22,Isaiah Stewart,DET,71,2.1,24.4,0.83,1.7,0.8,1.9,41.5,41.5,7.0,3.3,7.3,0.7,42.7,12.8
23,Jusuf Nurkic,POR,56,2.1,13.3,1.06,2.2,0.9,1.8,52.5,52.5,12.0,5.2,12.2,3.5,52.2,40.4
