,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,67,7.4,27.6,1.14,8.5,2.7,4.6,58.4,61.8,30.7,13.6,28.3,6.8,57.5,52.5
1,Devin Booker,PHX,68,5.2,20.3,1.21,6.3,2.2,4.1,52.5,61.5,14.8,8.5,12.5,3.4,53.4,67.3
2,LeBron James,LAL,56,6.3,22.7,1.18,7.4,2.9,4.6,63.8,67.3,16.2,16.5,15.1,6.0,56.1,60.5
3,Ja Morant,MEM,57,5.3,19.2,1.21,6.4,2.4,3.8,63.1,66.6,19.7,12.3,16.7,3.3,60.0,67.5
4,RJ Barrett,NYK,70,4.6,20.9,1.11,5.1,1.8,3.4,53.3,57.3,20.0,8.1,19.4,3.8,54.1,47.5
5,Anthony Edwards,MIN,72,3.9,18.1,1.24,4.8,1.8,3.1,59.0,66.4,13.2,10.0,12.5,2.9,56.4,73.3
6,Desmond Bane,MEM,76,3.8,23.1,1.18,4.5,1.6,3.2,48.8,60.0,10.3,8.2,9.6,2.7,48.6,60.3
7,LaMelo Ball,CHA,75,4.0,18.8,1.12,4.5,1.5,3.0,50.9,63.1,11.3,16.3,9.0,3.0,46.7,50.3
8,Jayson Tatum,BOS,76,3.5,13.6,1.25,4.4,1.6,2.7,60.1,64.3,16.8,10.4,15.3,3.0,59.0,74.1
9,Jaylen Brown,BOS,66,4.8,20.6,1.05,5.0,2.0,3.6,54.4,56.5,15.0,13.4,13.7,4.5,51.0,35.1
10,Mikal Bridges,PHX,82,2.9,24.1,1.37,4.0,1.6,2.4,65.0,70.8,13.4,6.7,13.4,3.8,63.6,89.2
11,Zach LaVine,CHI,67,3.8,16.8,1.28,4.8,1.8,2.7,66.8,70.4,17.4,14.2,16.6,4.7,61.3,78.0
12,Will Barton,DEN,71,3.8,24.8,1.18,4.4,1.6,2.9,53.4,64.2,12.3,11.6,11.9,1.9,51.5,58.7
13,Pascal Siakam,TOR,68,4.2,18.2,1.11,4.6,1.7,2.9,58.2,60.6,19.8,15.2,18.0,3.5,55.1,48.7
14,Trae Young,ATL,76,3.7,13.5,1.08,4.0,1.3,2.6,49.7,56.8,15.7,15.0,10.7,2.1,48.9,42.1
15,Terry Rozier,CHA,73,3.8,21.1,1.07,4.1,1.5,3.4,45.2,54.2,7.5,6.5,6.8,2.9,44.8,40.9
16,Malik Monk,LAL,76,3.2,24.1,1.24,3.9,1.5,2.6,57.4,67.4,9.2,11.3,7.9,1.7,54.2,73.5
17,Miles Bridges,CHA,80,3.1,16.7,1.19,3.7,1.4,2.3,58.9,63.8,15.5,12.4,13.5,2.0,56.6,61.9
18,Tyrese Maxey,PHI,75,2.9,18.4,1.35,3.9,1.4,2.3,62.0,68.7,18.0,8.3,17.1,5.1,60.8,85.8
19,Jordan Poole,GSW,76,3.1,17.6,1.2,3.8,1.3,2.4,54.4,62.1,14.3,12.2,10.9,2.9,52.9,63.9
20,De'Aaron Fox,SAC,59,4.1,17.3,1.17,4.8,1.8,3.0,60.2,61.6,22.1,11.9,18.0,6.1,58.6,57.7
21,Keldon Johnson,SAS,75,3.1,19.6,1.2,3.8,1.4,2.5,55.9,63.3,15.3,9.3,14.4,4.2,54.7,63.3
22,Stephen Curry,GSW,64,3.9,16.5,1.08,4.3,1.5,3.1,46.5,58.3,9.1,13.9,6.0,2.4,43.7,42.7
23,Russell Westbrook,LAL,78,4.1,18.7,0.85,3.5,1.3,2.7,48.8,50.5,16.3,20.1,14.1,2.8,44.2,10.4
24,Kelly Oubre Jr.,CHA,76,3.1,21.8,1.15,3.6,1.3,2.6,51.5,60.6,12.8,6.4,11.9,1.7,51.5,54.9
25,Bojan Bogdanovic,UTA,69,3.6,21.5,1.09,3.9,1.3,2.8,47.7,58.7,10.9,13.3,8.1,2.8,45.6,44.1
26,Gary Trent Jr.,TOR,70,3.4,19.1,1.1,3.7,1.3,2.7,47.1,56.3,12.3,9.3,10.2,1.7,47.9,46.3
27,Scottie Barnes,TOR,74,3.3,20.9,1.07,3.5,1.4,2.6,56.1,59.8,10.7,14.8,9.9,3.3,50.6,40.1
28,De'Anthony Melton,MEM,73,3.4,28.9,1.02,3.5,1.3,2.6,49.5,57.8,9.6,14.9,8.0,1.6,45.4,31.5
29,Terance Mann,LAC,81,3.0,28.5,1.03,3.1,1.1,2.3,50.5,55.2,12.8,12.0,12.0,0.8,49.6,32.7
30,Dejounte Murray,SAS,68,3.0,13.4,1.22,3.7,1.5,2.4,62.2,66.5,10.3,10.8,7.8,1.5,58.8,69.9
31,Saddiq Bey,DET,82,2.7,16.6,1.1,3.0,1.0,2.2,46.9,55.6,15.2,9.0,13.9,3.6,48.9,46.7
32,Cole Anthony,ORL,66,3.6,20.2,1.02,3.7,1.2,2.9,42.9,50.0,14.2,9.6,13.8,2.9,45.0,30.7
33,Donovan Mitchell,UTA,67,3.7,14.5,1.0,3.7,1.3,2.7,49.7,56.4,12.6,17.9,9.3,3.3,44.7,24.6
34,Kevin Durant,BKN,55,3.7,13.8,1.19,4.4,1.6,2.6,60.7,67.2,14.8,15.8,14.3,3.4,54.7,62.9
35,Aaron Gordon,DEN,75,2.7,19.1,1.19,3.2,1.1,1.9,61.4,69.6,16.3,17.2,14.3,3.0,54.7,62.9
36,Fred VanVleet,TOR,65,3.6,17.3,1.03,3.7,1.2,2.9,41.4,51.9,12.4,11.5,11.5,3.4,41.9,32.1
37,Jimmy Butler,MIA,58,3.0,15.3,1.35,4.1,1.4,2.2,64.8,67.2,22.9,8.0,21.1,2.3,66.3,86.2
38,Jalen Green,HOU,67,3.4,19.0,1.05,3.5,1.4,2.7,50.3,54.1,13.3,8.9,12.0,2.7,51.1,36.3
39,Tyler Herro,MIA,66,3.3,15.8,1.06,3.5,1.3,2.7,49.2,59.2,6.4,12.7,5.0,0.5,45.9,38.9
40,Franz Wagner,ORL,79,2.6,17.1,1.14,2.9,1.2,2.2,52.3,58.6,9.4,6.4,9.4,1.5,51.7,52.2
41,Khris Middleton,MIL,66,3.3,16.6,1.05,3.5,1.1,2.4,45.3,54.7,13.2,14.6,12.3,1.8,44.7,36.5
42,Karl-Anthony Towns,MIN,74,2.4,10.8,1.31,3.1,1.1,1.8,60.7,67.4,19.9,10.2,18.8,6.8,59.1,80.8
43,Josh Hart,NOP,41,4.8,36.3,1.17,5.6,2.0,3.1,62.0,64.3,24.5,13.3,23.5,3.6,58.2,58.1
44,Brandon Ingram,NOP,55,3.4,14.7,1.2,4.1,1.3,2.4,55.6,63.2,19.9,13.4,18.3,5.4,54.3,65.7
45,Darius Garland,CLE,68,3.1,13.9,1.05,3.2,1.2,2.2,54.0,61.0,10.0,20.1,7.2,1.9,46.9,35.3
46,Ayo Dosunmu,CHI,77,2.4,27.0,1.19,2.8,1.2,1.9,63.2,68.1,10.4,14.8,10.4,3.8,55.7,61.5
47,Joel Embiid,PHI,68,2.6,9.4,1.21,3.2,1.0,1.6,59.8,65.6,27.5,16.3,26.4,6.7,58.4,67.7
48,Jrue Holiday,MIL,67,3.0,16.6,1.06,3.2,1.3,2.4,52.8,62.6,6.4,16.3,5.0,1.5,45.5,39.1
49,Herbert Jones,NOP,78,2.6,26.8,1.07,2.7,1.1,2.0,52.2,54.1,13.0,10.0,10.5,2.5,52.0,40.3
50,Harrison Barnes,SAC,77,2.3,15.6,1.21,2.8,0.9,1.6,55.3,62.2,23.4,10.9,23.4,5.1,56.0,66.9
51,Shai Gilgeous-Alexander,OKC,56,3.5,14.1,1.08,3.8,1.3,2.4,53.3,56.2,21.0,12.3,17.4,3.6,53.8,42.3
52,Kyle Kuzma,WAS,66,3.2,17.3,1.0,3.2,1.2,2.1,56.4,62.1,12.5,22.6,12.0,2.9,47.1,28.9
53,Isaac Okoro,CLE,67,2.4,29.3,1.27,3.1,1.1,1.8,61.7,63.8,25.0,8.5,25.0,7.3,60.4,77.4
54,Andrew Wiggins,GSW,73,2.3,13.5,1.23,2.8,1.0,1.7,60.7,72.5,16.9,12.7,16.3,3.0,54.8,70.7
55,Jordan Clarkson,UTA,79,2.3,14.2,1.1,2.6,0.9,1.9,46.1,56.2,11.4,8.6,9.2,3.2,46.5,46.5
56,Lauri Markkanen,CLE,61,2.4,18.0,1.36,3.3,1.2,2.2,56.8,69.3,8.7,6.0,8.7,3.4,55.7,87.8
57,Kentavious Caldwell-Pope,WAS,77,2.4,18.9,1.09,2.6,0.9,2.0,46.1,56.6,9.7,10.8,8.1,2.2,45.2,43.5
58,Tobias Harris,PHI,73,2.3,13.7,1.19,2.7,1.0,1.7,60.3,66.3,13.2,14.4,12.6,3.0,54.5,62.5
59,Luguentz Dort,OKC,51,3.7,20.9,1.05,3.9,1.3,2.9,44.3,52.3,14.9,8.5,14.4,2.7,46.8,35.5
60,Bam Adebayo,MIA,56,2.9,15.9,1.2,3.5,1.2,1.9,65.4,65.4,25.3,17.9,22.8,7.4,59.9,65.3
61,Cameron Johnson,PHX,66,2.2,21.0,1.31,2.9,1.0,1.9,53.1,64.8,11.6,6.1,11.6,4.8,53.1,81.8
62,Malik Beasley,MIN,79,2.3,19.9,1.06,2.4,0.9,2.0,42.8,55.3,6.1,6.6,4.4,0.6,42.5,38.1
63,Kevin Porter Jr.,HOU,61,3.6,20.4,0.87,3.1,1.1,2.6,43.7,50.3,12.7,17.3,11.8,1.8,40.5,12.0
64,Carmelo Anthony,LAL,69,2.0,16.2,1.39,2.8,0.9,1.9,50.4,70.9,2.2,3.6,2.2,0.0,49.6,90.4
65,Bobby Portis,MIL,72,2.2,15.4,1.22,2.6,1.0,1.9,54.5,65.3,6.4,7.7,7.1,0.6,52.6,69.1
66,Amir Coffey,LAC,69,2.0,24.4,1.38,2.7,0.9,1.5,59.0,69.5,19.7,6.6,19.7,3.6,61.3,89.6
67,Devin Vassell,SAS,71,2.1,17.6,1.24,2.6,0.9,1.9,48.5,61.9,7.9,4.6,6.6,0.7,50.0,72.5
68,DeMar DeRozan,CHI,76,2.1,8.0,1.2,2.5,0.8,1.3,62.0,63.0,24.4,14.1,20.5,2.6,60.3,64.1
69,D'Angelo Russell,MIN,65,3.2,16.6,0.9,2.9,1.0,2.5,38.2,49.7,6.3,15.0,5.3,1.0,35.7,15.4
70,Jae'Sean Tate,HOU,78,2.2,18.1,1.09,2.4,0.9,1.4,63.1,65.8,17.8,21.3,14.8,4.7,53.3,44.3
71,Nikola Jokic,DEN,74,2.1,8.9,1.16,2.5,1.0,1.4,74.5,76.0,13.9,25.9,11.4,4.4,55.7,56.5
72,Buddy Hield,SAC,55,3.1,21.3,1.05,3.3,1.2,2.7,42.4,56.0,4.6,9.2,2.9,1.2,40.5,35.9
73,Jaren Jackson Jr.,MEM,78,2.2,13.2,1.05,2.3,0.7,1.8,40.1,48.2,16.1,6.3,14.4,4.0,44.3,34.7
74,Bogdan Bogdanovic,ATL,63,2.3,15.8,1.26,2.9,1.0,2.0,50.4,64.6,6.3,6.9,4.9,1.4,49.3,76.2
75,Kevin Huerter,ATL,74,2.1,17.8,1.17,2.4,0.9,1.8,50.4,64.1,3.9,9.0,2.6,0.0,47.7,57.5
76,Reggie Jackson,LAC,75,2.7,13.8,0.9,2.4,1.0,2.2,42.9,49.4,4.5,12.4,3.5,0.5,39.8,14.8
77,Dorian Finney-Smith,DAL,80,1.6,16.3,1.36,2.3,0.9,1.4,61.4,71.1,9.8,6.1,9.8,2.3,59.8,88.5
78,Gordon Hayward,CHA,49,3.2,20.7,1.15,3.7,1.4,2.5,54.0,60.9,13.4,10.8,13.4,3.2,52.9,53.9
79,Bruce Brown,BKN,72,1.8,20.9,1.39,2.5,1.0,1.4,74.7,75.3,20.2,10.1,20.9,7.8,69.8,90.6
80,Monte Morris,DEN,75,2.1,18.2,1.11,2.4,0.9,1.9,50.7,58.9,6.2,8.7,6.2,1.9,47.8,47.3
