,"('Player',)","('Team',)","('Age',)","('Restricted Area', 'FGM')","('Restricted Area', 'FGA')","('Restricted Area', 'FG%')","('In The Paint (Non-RA)', 'FGM')","('In The Paint (Non-RA)', 'FGA')","('In The Paint (Non-RA)', 'FG%')","('Mid-Range', 'FGM')","('Mid-Range', 'FGA')","('Mid-Range', 'FG%')","('Left Corner 3.', 'FGM')","('Left Corner 3.', 'FGA')","('Left Corner 3.', 'FG%')","('Right Corner 3.', 'FGM')","('Right Corner 3.', 'FGA')","('Right Corner 3.', 'FG%')","('Corner 3', 'FGM')","('Corner 3', 'FGA')","('Corner 3', 'FG%')","('Above the Break 3.', 'FGM')","('Above the Break 3.', 'FGA')","('Above the Break 3.', 'FG%')"
0,Aaron Gordon,DEN,26,3.7,4.9,75.5,0.4,1.3,29.6,0.5,1.5,37.6,0.3,0.9,32.8,0.2,0.6,35.6,0.5,1.5,33.9,0.7,1.9,34.0
1,Aaron Henry,PHI,22,0.2,0.2,100,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2,Aaron Holiday,PHX,25,0.8,1.3,60.0,0.8,1.7,46.7,0.2,0.8,30.0,0.1,0.3,38.5,0.0,0.1,50.0,0.1,0.3,41.2,0.5,1.4,37.2
3,Aaron Nesmith,BOS,22,0.5,0.7,76.5,0.1,0.3,41.2,0.2,0.3,50.0,0.1,0.6,20.0,0.1,0.4,21.1,0.2,0.9,20.5,0.4,1.4,31.0
4,Aaron Wiggins,OKC,23,1.4,2.2,64.5,0.8,1.7,47.0,0.1,0.1,57.1,0.2,0.6,36.7,0.1,0.5,26.1,0.3,1.1,32.1,0.5,1.7,29.8
5,Abdel Nader,PHX,28,0.6,0.9,61.5,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,100,0.0,0.4,0.0,0.1,0.4,20.0,0.2,0.6,37.5
6,Ade Murkey,SAC,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
7,Admiral Schofield,ORL,25,0.4,0.7,55.6,0.3,0.6,50.0,0.1,0.1,100,0.1,0.4,33.3,0.2,0.6,35.3,0.3,0.9,34.5,0.4,1.3,33.3
8,Ahmad Caver,IND,25,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0
9,Al Horford,BOS,36,1.3,1.8,72.2,0.9,1.7,53.4,0.3,0.9,38.3,0.2,0.5,32.4,0.3,0.6,45.5,0.4,1.1,39.7,0.8,2.7,31.0
10,Alec Burks,NYK,30,0.6,1.5,42.9,0.6,1.6,35.6,0.4,1.1,34.8,0.3,0.6,43.1,0.2,0.5,38.6,0.5,1.2,41.1,1.4,3.6,39.9
11,Aleem Ford,ORL,24,0.6,0.6,100,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,2.4,16.7
12,Aleksej Pokusevski,OKC,20,1.3,2.0,66.4,0.6,1.7,36.6,0.2,0.6,33.3,0.2,0.5,35.7,0.1,0.2,28.6,0.2,0.7,33.3,0.7,2.5,27.7
13,Alex Caruso,CHI,28,1.0,1.9,53.8,0.3,0.8,37.5,0.2,0.5,33.3,0.2,0.7,24.1,0.3,0.5,57.9,0.4,1.2,37.5,0.6,1.8,30.7
14,Alex Len,SAC,29,1.5,2.2,69.4,0.7,1.7,40.9,0.1,0.1,50.0,0.1,0.1,50.0,0.0,0.1,0.0,0.1,0.2,33.3,0.1,0.4,26.7
15,Alfonzo McKinnie,CHI,29,0.6,1.2,52.4,0.1,0.3,50.0,0.1,0.6,22.2,0.2,0.5,33.3,0.2,0.5,40.0,0.3,0.8,36.4,0.3,0.9,31.3
16,Alize Johnson,NOP,26,0.5,1.1,45.8,0.3,0.6,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
17,Alperen Sengun,HOU,19,2.4,3.8,61.4,0.6,1.6,40.4,0.1,0.2,23.5,0.0,0.0,0.0,0.0,0.1,25.0,0.0,0.1,20.0,0.4,1.4,26.7
