,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Low Dribble %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch,role
0,Aaron Gordon,79.03225806451614,62.8,54.66666666666667,68.46846846846847,1.6666666666666665,32.8,1.89,1.89
1,Aaron Henry,50.0,100.0,133.33333333333334,62.5,0.6666666666666667,0.0,1.0,1.0
2,Aaron Holiday,43.333333333333336,34.8,50.793650793650805,33.33333333333333,4.0,44.6,4.32,4.32
3,Aaron Nesmith,70.0,80.5,31.57894736842105,80.0,2.166666666666667,34.3,0.99,0.99
4,Aaron Wiggins,56.41025641025641,56.1,53.01204819277109,64.17910447761194,10.249999999999998,38.4,1.47,1.47
5,Abdel Nader,60.0,50.0,50.0,48.00000000000001,10.5,31.0,1.14,1.14
6,Ade Murkey,,0.0,,,,0.0,0.0,0.0
7,Admiral Schofield,53.846153846153854,71.4,36.84210526315789,85.29411764705883,5.999999999999999,29.5,0.63,0.63
8,Ahmad Caver,100.0,100.0,100.0,,,0.0,4.5,4.5
9,Al Horford,51.42857142857144,67.8,43.137254901960794,85.3658536585366,4.0,44.6,0.64,0.64
10,Alec Burks,48.387096774193544,43.0,20.51282051282051,48.88888888888889,1.7714285714285716,37.3,3.06,3.06
11,Aleem Ford,60.0,75.0,57.14285714285715,85.00000000000001,inf,16.7,0.6,0.6
12,Aleksej Pokusevski,54.05405405405405,53.5,50.0,69.33333333333334,2.785714285714286,51.3,1.41,1.41
13,Alex Caruso,70.37037037037037,56.7,35.13513513513514,62.903225806451616,3.0769230769230766,51.2,2.67,2.67
14,Alex Len,56.41025641025641,77.3,73.33333333333334,91.11111111111111,2.9999999999999996,0.0,0.48,0.48
15,Alfonzo McKinnie,80.0,73.3,40.0,83.33333333333333,1.5,12.5,0.74,0.74
16,Alize Johnson,64.70588235294117,52.9,88.8888888888889,76.47058823529413,inf,25.0,0.87,0.87
17,Alperen Sengun,70.37037037037037,43.6,62.5,61.64383561643836,6.8,27.2,1.03,1.03
18,Amir Coffey,57.692307692307686,59.1,35.55555555555556,61.76470588235294,2.3846153846153846,33.0,1.66,1.66
19,Andre Drummond,80.70175438596492,59.1,83.54430379746834,84.7457627118644,10.0,21.4,0.67,0.67
20,Andre Iguodala,76.92307692307692,62.1,44.99999999999999,79.48717948717949,1.6,65.2,1.74,1.74
21,Andrew Wiggins,50.0,49.7,40.69767441860465,55.714285714285715,1.7692307692307694,38.9,2.15,2.15
22,Anfernee Simons,50.0,19.5,23.121387283236995,39.285714285714285,1.0857142857142856,36.1,4.62,4.62
23,Anthony Davis,70.37037037037037,64.7,62.06896551724138,79.31034482758622,0.6923076923076924,21.5,0.99,0.99
24,Anthony Edwards,76.0,36.5,39.43661971830986,36.41618497109826,1.5882352941176472,34.4,3.6,3.6
25,Anthony Gill,50.0,77.1,53.658536585365866,80.0,inf,27.5,0.7,0.7
26,Anthony Lamb,,0.0,,,,0.0,1.77,1.77
27,Armoni Brooks,71.42857142857143,66.7,15.094339622641511,72.22222222222221,0.6842105263157895,52.9,1.56,1.56
28,Arnoldas Kulboka,,0.0,,,,0.0,0.33,0.33
29,Austin Reaves,61.904761904761905,55.9,35.61643835616439,67.3076923076923,2.545454545454545,42.9,1.75,1.75
30,Austin Rivers,64.70588235294117,46.3,33.33333333333333,65.38461538461539,3.2,40.6,1.79,1.79
31,Avery Bradley,64.28571428571429,63.6,21.874999999999996,78.57142857142858,0.7692307692307692,42.9,1.02,1.02
32,Ayo Dosunmu,77.14285714285715,57.2,47.72727272727273,60.86956521739131,3.0000000000000004,49.8,3.29,3.29
33,BJ Johnson,72.22222222222221,71.4,15.384615384615385,71.42857142857143,0.8666666666666667,20.0,1.0,1.0
34,Bam Adebayo,53.703703703703695,60.8,69.10994764397905,68.46153846153847,1.44,22.4,1.44,1.44
35,Ben McLemore,81.81818181818181,84.6,11.76470588235294,89.28571428571428,0.5882352941176471,47.8,0.93,0.93
36,Bismack Biyombo,61.53846153846154,74.4,82.75862068965517,92.5,0.0,0.0,0.38,0.38
37,Blake Griffin,82.14285714285714,62.1,53.125,83.92857142857144,1.1666666666666667,40.0,0.87,0.87
38,Boban Marjanovic,48.275862068965516,73.2,83.72093023255815,76.66666666666666,0.0,0.0,0.63,0.63
39,Bobby Portis,55.55555555555555,55.6,42.465753424657535,80.9917355371901,0.7894736842105263,23.4,0.57,0.57
40,Bogdan Bogdanovic,45.945945945945944,38.2,26.490066225165563,54.76190476190476,1.3829787234042552,42.6,1.99,1.99
41,Bojan Bogdanovic,50.0,56.8,36.46408839779005,60.447761194029844,2.066666666666667,26.8,1.41,1.41
42,Bol Bol,50.0,100.0,83.33333333333334,73.68421052631578,1.3333333333333335,45.5,0.89,0.89
43,Bones Hyland,60.86956521739131,36.4,21.782178217821784,50.602409638554214,1.2903225806451613,43.8,3.15,3.15
44,Brad Wanamaker,64.70588235294117,45.8,38.888888888888886,24.242424242424246,2.857142857142857,53.3,4.08,4.08
45,Bradley Beal,50.505050505050505,36.5,44.827586206896555,32.12435233160622,2.148148148148148,36.8,3.86,3.86
46,Brandon Boston Jr.,70.37037037037037,61.5,38.80597014925373,43.74999999999999,0.8571428571428572,24.6,2.2,2.2
47,Brandon Clarke,60.9375,70.0,82.6923076923077,81.42857142857143,4.25,23.6,0.68,0.68
48,Brandon Goodwin,60.86956521739131,24.4,54.16666666666667,32.558139534883715,3.266666666666667,54.5,4.61,4.61
49,Brandon Ingram,48.4375,40.1,29.955947136563875,44.692737430167604,1.4691358024691359,37.7,2.87,2.87
50,Brandon Knight,87.5,66.7,37.49999999999999,55.99999999999999,2.7777777777777777,68.0,4.73,4.73
51,Brandon Williams,63.79310344827586,31.1,40.310077519379846,37.28813559322034,2.625,38.1,4.31,4.31
52,Braxton Key,75.0,74.1,69.44444444444444,70.76923076923076,1.7,26.3,0.86,0.86
53,Brodric Thomas,74.99999999999999,83.3,55.55555555555556,73.33333333333334,2.666666666666667,77.8,3.74,3.74
54,Brook Lopez,62.962962962962955,71.4,51.61290322580645,92.0792079207921,0.75,8.3,0.39,0.39
55,Bruce Brown,61.11111111111111,74.3,66.66666666666666,77.14285714285715,6.5,41.2,1.63,1.63
56,Bruno Fernando,77.77777777777779,71.4,82.75862068965517,88.8888888888889,inf,0.0,0.57,0.57
57,Bryn Forbes,25.0,69.7,15.909090909090907,66.66666666666667,1.1250000000000002,32.8,1.42,1.42
58,Buddy Hield,64.70588235294117,44.0,21.7948717948718,61.76470588235294,1.1702127659574468,48.0,1.87,1.87
59,CJ Elleby,71.42857142857143,63.1,44.827586206896555,73.58490566037736,4.833333333333333,42.5,1.53,1.53
60,CJ McCollum,40.57971014492754,25.4,32.57918552036199,31.914893617021274,1.1428571428571428,33.9,3.92,3.92
61,CJ Miles,,0.0,,,,0.0,1.0,1.0
62,Cade Cunningham,56.62650602409638,23.5,45.97701149425288,35.40372670807454,2.8627450980392157,40.7,3.9,3.9
63,Caleb Martin,80.55555555555556,60.4,45.652173913043484,72.05882352941177,3.1,30.8,1.28,1.28
64,Cam Reddish,63.63636363636365,52.5,31.683168316831683,57.831325301204814,1.6071428571428572,26.9,1.62,1.62
65,Cam Thomas,35.714285714285715,41.5,35.294117647058826,36.00000000000001,1.0476190476190477,30.0,2.85,2.85
66,Cameron Johnson,55.55555555555555,67.3,25.6,80.43478260869567,2.727272727272727,39.9,1.01,1.01
67,Cameron McGriff,86.95652173913044,66.7,42.5531914893617,63.82978723404255,1.769230769230769,57.1,1.33,1.33
68,Cameron Oliver,81.81818181818183,77.8,69.56521739130434,100.0,0.0,0.0,0.31,0.31
69,Cameron Payne,43.39622641509433,18.3,44.44444444444444,31.683168316831683,2.8529411764705883,31.0,4.47,4.47
70,Caris LeVert,43.02325581395348,30.3,52.94117647058824,26.53061224489796,2.257575757575758,38.4,3.63,3.63
71,Carlik Jones,100.0,0.0,74.99999999999999,,1.7499999999999998,57.1,4.72,4.72
72,Carmelo Anthony,57.14285714285714,48.2,18.045112781954888,75.23809523809524,0.21212121212121213,17.4,0.68,0.68
73,Carsen Edwards,64.28571428571429,40.0,17.24137931034483,44.0,0.9428571428571428,46.2,3.74,3.74
74,Cassius Stanley,60.0,60.0,58.620689655172406,54.90196078431373,4.285714285714286,22.2,1.59,1.59
75,Cassius Winston,16.666666666666668,50.0,20.0,,2.857142857142857,71.4,3.71,3.71
76,Cat Barber,100.0,0.0,,,3.2857142857142856,57.1,4.64,4.64
77,Cedi Osman,73.33333333333334,68.9,31.775700934579444,70.11494252873564,2.1875,43.6,1.65,1.65
78,Chandler Hutchison,50.0,100.0,57.14285714285715,,inf,66.7,1.41,1.41
79,Charles Bassey,72.22222222222221,66.7,80.0,95.0,0.0,100.0,0.61,0.61
80,Charlie Brown Jr.,75.0,44.4,71.42857142857143,83.33333333333333,2.9999999999999996,0.0,0.67,0.67
81,Chaundee Brown Jr.,54.54545454545454,50.0,19.35483870967742,65.625,1.2857142857142858,33.3,0.93,0.93
82,Cheick Diallo,74.07407407407408,33.3,54.05405405405405,85.18518518518518,inf,0.0,0.77,0.77
83,Chimezie Metu,56.75675675675676,74.0,47.191011235955045,80.0,2.818181818181818,28.2,0.74,0.74
84,Chris Boucher,82.5,67.0,51.06382978723405,91.66666666666666,1.2,11.4,0.48,0.48
85,Chris Chiozza,57.14285714285715,14.3,20.0,58.333333333333336,5.2857142857142865,67.8,3.32,3.32
86,Chris Duarte,65.9090909090909,47.7,32.06106870229008,47.78761061946903,1.404255319148936,37.0,2.12,2.12
